dep,vaccin,jour,n_tot_dose1,n_tot_dose2
60,0,2021-02-28,25716,13179
61,0,2021-02-28,19633,13420
62,0,2021-02-28,49114,25060
63,0,2021-02-28,29466,15566
64,0,2021-02-28,38514,21524
65,0,2021-02-28,14444,8538
66,0,2021-02-28,29460,16186
67,0,2021-02-28,54717,26039
68,0,2021-02-28,38747,16420
69,0,2021-02-28,68905,38660
70,0,2021-02-28,10192,5181
71,0,2021-02-28,30077,17416
72,0,2021-02-28,23584,11690
73,0,2021-02-28,22798,10114
74,0,2021-02-28,25754,12951
75,0,2021-02-28,104800,59108
76,0,2021-02-28,60575,36021
77,0,2021-02-28,37273,21583
78,0,2021-02-28,44525,23039
79,0,2021-02-28,19521,11305
80,0,2021-02-28,25007,13942
81,0,2021-02-28,20786,10801
82,0,2021-02-28,14933,7982
83,0,2021-02-28,49748,26442
84,0,2021-02-28,24807,13285
85,0,2021-02-28,35574,18651
86,0,2021-02-28,25591,14058
87,0,2021-02-28,19848,11345
88,0,2021-02-28,20156,9157
89,0,2021-02-28,15662,9258
90,0,2021-02-28,9457,5500
91,0,2021-02-28,39842,22063
92,0,2021-02-28,49458,28249
93,0,2021-02-28,40309,20420
94,0,2021-02-28,45846,25373
95,0,2021-02-28,37274,20494
970,0,2021-02-28,1,0
971,0,2021-02-28,3250,891
972,0,2021-02-28,4516,2299
973,0,2021-02-28,3360,1153
974,0,2021-02-28,17222,4296
976,0,2021-02-28,5122,886
977,0,2021-02-28,230,25
